Year,Q1_Awareness,Q2_Influence,Q3_Recruitment_OE,Q4_Program,Q5_Catalog
2020,1,1,I knew it would provide we with opportunities no other college would. I would be getting classroom experience much sooner here than at other colleges.,1,1
2020,1,1,Knowing that there is a school on campus is unlike any of the other schools i visited. Going into education i thought this was a very high luxury that you cant find anywhere else.,0,1
2020,1,1,I thought that it would help me in deciding whether or not I would still like to become a teacher with the in-class experience but we did not get to have that this year.,0,1
2020,1,1,I loved the idea that i was going to be able to get into a classroom and work with kids freshman year.  It was changed with Covid though.,1,1
2020,1,1,I thought it was a really good hands on experience to have before actually joining the work force.,1,1
2020,1,1,"The idea of getting to be in the classroom starting my first year was really appealing. However, that didn't get to happen because of Covid.",1,1
2020,1,1,I think that the lab school influenced my decision because I liked that I would have the opportunity to interact with kids directly on campus. I grew up in a small town where I knew everyone so having the little ones on campus makes it feel more like home to me.,1,1
2020,1,1,"Knowing that I would get to work with the kids my freshman year influenced my decision because at the other school I was looking at, I wouldn't get to work with students until my senior year on campus. Knowing I would get early experience helped my decision.",1,1
2020,1,1,I really liked the idea of having the school on campus so it was easier to observe.,1,1
2020,1,1,I knew that the school had a grade school on campus and that meant I could see teachers in action and get into that action right on campus.,1,1
2020,1,1,I loved that I would be able to oberserve teacher on my college campus and that I would be able to interact with students.,1,1
2020,1,1,It was nice to know that there was a school on campus that I could observe or student teach at.,1,1
2020,1,1,I enjoy the opportunity to get hands-on experiences. This is the best way I learn.,1,1
2020,1,1,None of the other schools I was looking into allowed me the opportunity to get into the classroom on day 1. It was just an opportunity I couldn't pass up.,1,1
2020,1,1,NW was the one place I was able to come and get real experience right away.,1,1
2020,1,1,The lab school influenced me tremendously in my decision on coming here to Northwest. I thought this would be a good way to interact with students and observe the classroom as well. I thought this would be a great way to see what my future would look like when working with students in a classroom.,1,1
2020,1,1,Having a school on campus can help my quickening understanding of teaching.,1,1
2020,1,1,I knew I would be able to do my student teaching right on campus and not have to worry about having to find local schools to do the student teaching at,1,1
2020,1,1,I have always heard about how great of an experience Northwest was because of their academic program. I’ve heard that you get hands-on experience your freshman year and I thought that would be very beneficial.,1,1
2020,1,1,"I was already moved by Northwest being one of the best education schools to attend but when I found out the lab school was provided on campus, it made me even more excited and locked in my decision.",1,1
2020,1,1,I really liked the idea of being able to observe and interact in a classroom early on in my college career.,0,1
2020,1,1,I was told in my visit that I would be in a classroom observing my freshman year. This influenced my decision to come to Northwest because this way if I knew I didn't like being in a classroom I could change my major before my second semester senior year when I'm student teaching.,1,1
2020,1,1,Having a school on campus offers more hands on opportunities when it comes to teaching.,1,1
2020,1,1,seeing the different ways and tactics of teaching being practiced really influenced my decision. Also the different ways to set up learning in the classroom,1,1
2020,1,1,I was excited to have the opportunity to observe a classroom and have hands on learning,0,1
2020,1,1,I like the idea of hands on practice before I do my student teaching.,1,1
2020,1,1,I thought that it was cool that northwest gave their freshman the opportunity to observe classes at a school as a freshman. No other school I had visited had this option and northwest having it influenced my decision greatly.,0,1
2020,1,1,It showed that I'd be able to teach while also learn how to teach,0,1
2020,1,0,"When looking at other college options, northwest really stood out the most because you get hands on experience all four years of your schooling.",1,1
2020,1,1,For me it meant that northwest was dedicated to giving the best education to future teachers but it only somewhat cause I wanted to be a high school teacher,0,1
2021,1,1,More in person experience to spend time with kids.,1,1
2021,1,1,"I knew it would give me an opportunity to do hands on learning and it serves as motivation. It gives me a chance to see students and teachers all the time, which will make me want to work harder towards getting my degree. I get to see what I will be doing for the rest of my life.",1,1
2021,1,1,I knew there was a school on campus that we would be able to be hands on with which is a great way to get involved and understand teaching and how to interact with kids to prepare for when I have my own classroom.,1,1
2021,1,1,I knew that I wanted to have hands on experience with students to help learn more about the educational field. So knowing that there is an opportunity for me to work with students hands on really influenced my decision of choosing the NW education program.,1,1
2021,1,1,Knowing that the lab school was right here on campus was a big benefit in having to do observations and get hand on experience in the classroom right into my college career.,0,1
2021,1,1,I love that attending Northwest allows me to have hands on experience as an education major!,1,1
2021,1,1,It was a big pull as I could gain that hands on teaching experience before I ever actually become a full fledged teacher. It would also help me determine what age group I really want to teach.,0,1
2021,1,1,This is an easy access to getting hands-on learning and being able to get a sense of what the classroom could look like.,1,1
2021,1,0,"Did not do anything, I have no interest in teaching elementary education.",0,1
